['ibukota pindah kaltim gedung perintah sulap utk penting warga mantap', 'pos']
['pindah ibukota hindar banjir', 'pos']
['juni jakarta tamat kota ri trus siap2 pindah ikn sana syurga gak si kaya miskin bahagia minimal milik 6000 ha lahan pindah kesana yg miskin gak selamat tinggal dki sbg ikn', 'pos']
['pindah kota peluang properti', 'pos']
['rancang uu kota negara serah perintah dpr februari serah harap bahas uu payung hukum laksana program pindah kota', 'pos']
['dki jakarta padat duduk pindah kalimantan jakarta padat macet solusi cemerlang kota jakarta dki macet benah banjir ysng proyek buat salur air banjir', 'pos']
['presiden 2024 pindah kota', 'pos']
['survei mayoritas masyarakat tuju pindah kota', 'pos']
['pindah kota negara yakin dongkrak ekonomi kalimantan', 'pos']
['hasil survei indo barometer warga tuju pindah kota najam', 'pos']
['laksana pindah kota negara 2024 yakin perintah rancang bangun kota modern kumpul tiru konsep kota kota negara maju', 'pos']
['pindah kota negara wujud peduli perintah perata bangun', 'pos']
['indo barometer mayoritas publik tuju pindah kota kaltim', 'pos']
['pindah kota sesuai rencana', 'pos']
['sabar ntar ga macet kalok kota dah pindah wkkwkwk', 'pos']
['pindah kota negara wujud peduli perintah perata bangun', 'pos']
['pukau canberra jokowi pindah kota 2024', 'pos']
['thn brp kdpn indonesia sdh pindah kekaltim ramal mnjd ibukota yg megah canggih moderen super aman dr ganggu mnpun ktkan anak indigo bal juta energy positif sdh mengamankn calon kota trsebut', 'pos']
['yg gak dll salah beliau sdh dukung program perintah pusat pindah ibukota buktinyabeliau sdh kerja menengelamkan kota dgn', 'pos']
['kapok cepetan pindah kota', 'pos']
['tanda pindah kota krn jkt banjir macet jamin kota bebas banjir macet eh skrg calon kota banjir lagibanjir landa kota 379 jiwa dampak', 'neg']
['ide heboh substansi nol pindah kota contoh', 'neg']
['babe ridwan saidi sy ga peduli kota pindah kalo besok subuh buru2 pindah udah cape liat', 'neg']
['kota calon deng banjir jg hmm timbang lg gak presiden wacana aja bencana hendak allah swt kemana2 jg pindah hendak cipta', 'neg']
['pindah kota lari ahok', 'neg']
['rencana pindah kota bikin balap formula jakarta ga prioritasin perata ekonomi daerah engga fokusin jalan yg mas bolong gimana yg papua perintah ngalihin isu sm bodoamat yg untung', 'neg']
['tuju kota pindah tolak partai utama partai presiden pilkada 2020 rakyat yg rezim laku', 'neg']
['yg tdk janji cepet bpjs uu kpk revisi hutang roket pindah kota dll sdgkan janji ekonomi roket kpk kuat kartu pra kerja dll', 'neg']
['yg prioritas pindah kota ekonomi rakyat yg susah anggur yg hrs atas biar nggk mubazir guna uang rakyat', 'neg']
['benah atas banjir harap pindah kota kota layak tahan jabat jabat benah atas banjir macet alas wacana karno pindah kota cam', 'neg']
['kota ri batal pindah kaltim', 'neg']
['pindah kota negara kalimantan tindak iiiegal', 'neg']
['rocky gerung pindah kota gagal pindah jokowi raja ilusionis', 'neg']
['dah kuasa preman kota mangkaya pindah pulau', 'neg']
['sakit hati panjang nama kota pindah', 'neg']
['calon kota banjir sekolah libur kira2 dhe pindah mana ibukota', 'neg']
['pusing kota dikit macet kiiri dikit macet kanan dikit macet serba macet pindah aja mars', 'neg']
['pindah kota ekonomi sulit desak rakyat', 'neg']
['pindah kota nasib proyek gedung ojk', 'neg']
['pecat menag jokowi kl bpk hny urus pindah kota dn bangun jln tol intoleransi tdk basmi spt suriah', 'neg']
